ID,Image,Name(Kanji),Name(Hiragana),Name(Romaji),Localised Name,Nickname,Gender,Passive ID,Role,Game,Position,Alt Position,Element,Preferred Playstyle,Kick,Control,Technique,Pressure,Physical,Agility,Intelligence,Total Stats
327,,霜月 直輔,しもつき なおすけ,Naosuke Shimotsuki,Jack Frosty,霜月,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,風 (Wind),Bond,76,79,77,95,99,81,110,617
328,,仲間田 太助,なかまだ たすけ,Tasuke Nakamada,Larry Helps,太助,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,林 (Forest),Justice,110,104,95,77,75,75,83,619
329,,光明寺 聡明,こうみょうじ さとあき,Satoaki Komyoji,Monty Patten,そうめい,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,林 (Forest),Bond,76,79,77,95,99,81,110,617
330,,臼引 十兵衛,うすひき じゅうべえ,Jubee Usuhiki,Chunk Gorman,十兵衛,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,山 (Mountain),Breach,110,104,95,77,75,75,83,619
331,,近辺 十馬,こんぺ とうま,Toma Konpe,Balt Decker,こんぺいと,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,風 (Wind),Rough Play,76,79,77,95,99,81,110,617
332,,月光 満,げっこう みちる,Michiru Gekko,Drew Crenshaw,まんげつ,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,山 (Mountain),Justice,76,79,77,95,99,81,110,617
333,,阿修羅 三夫,あしゅら みつお,Mitsuo Ashura,Stan Trum,阿修羅,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,火 (Fire),Counter,110,104,95,77,75,75,83,619
334,,波田野 漣,はたの れん,Ren Hatano,Sham Spike,波田野,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,山 (Mountain),Bond,90,104,105,77,75,75,93,619
335,,天野 雨彦,あまの あめひこ,Amehiko Amano,Rainier Welkin,雨彦,男 (Male),GK6,選手 (Player),イナズマイレブン,GK,DF,火 (Fire),Breach,79,86,81,88,95,101,86,616
336,,平 和人,たいら かずひと,Kazuhito Taira,Evan Yielding,平,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,林 (Forest),Counter,110,104,95,77,75,75,83,619
337,,地蔵 久夢,じぞう くむ,Kumu Jizo,Phil Anthropic,地蔵,男 (Male),FW7,選手 (Player),イナズマイレブン,FW,MF,山 (Mountain),Counter,104,101,91,81,78,75,90,620
338,,鷹桐 凱,たかぎり がい,Gai Takagiri,Fane Club,タカ,男 (Male),GK6,選手 (Player),イナズマイレブン,GK,DF,風 (Wind),Justice,79,86,81,88,95,101,86,616
339,,細井 高,ほそい こう,Ko Hosoi,Slim Lanky,細井,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,DF,風 (Wind),Breach,79,86,81,91,95,98,86,616
340,,天正 叡一,てんしょう えいいち,Eiichi Tensho,Doug Lee,天正,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,火 (Fire),Rough Play,79,83,84,91,95,81,104,617
341,,大和 進,やまと すすむ,Susumu Yamato,Edward Albion,大和,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,MF,山 (Mountain),Justice,79,86,81,91,95,98,86,616
342,,津曲 勉,つまがり つとむ,Tsutomu Tsumagari,Stu Dent,がり,男 (Male),GK6,選手 (Player),イナズマイレブン,GK,DF,火 (Fire),Rough Play,79,86,81,88,95,101,86,616
343,,世良 一期,せら いちご,Ichigo Sera,Barry Straw,一期,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,風 (Wind),Rough Play,110,104,95,77,75,75,83,619
344,,沖田 創,おきた そう,So Okita,Bobby Peel,沖田,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,山 (Mountain),Breach,90,104,105,77,75,75,93,619
345,,長崎 紀一,ながさき きいち,Kiichi Nagasaki,Dan Castella,長崎,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,DF,山 (Mountain),Tension,79,86,81,91,95,98,86,616
346,,鴨川 武一,かもがわ ぶいち,Buichi Kamogawa,Bill Moony,かも,男 (Male),FW7,選手 (Player),イナズマイレブン,FW,MF,山 (Mountain),Justice,104,101,91,81,78,75,90,620
347,,仏 良夫,ほとけ よしお,Yoshio Hotoke,Buddy Goodman,仏,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,林 (Forest),Bond,79,83,84,91,95,81,104,617
348,,箸井 邦明,はしい くにあき,Kuniaki Hashii,Dex Territy,ハシ,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,DF,山 (Mountain),Counter,79,86,81,91,95,98,86,616
349,,明智 光,あけち ひかる,Hikaru Akechi,Vinny O'Gaines,明智,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,FW,林 (Forest),Counter,90,104,105,77,75,75,93,619
350,,雉端 練人,きじはた れんと,Rento Kijihata,Ray Deo,雉端,男 (Male),GK6,選手 (Player),イナズマイレブン,GK,MF,風 (Wind),Tension,79,86,81,88,95,101,86,616
351,,神野 啓司,じんの けいじ,Keiji Jinno,Archie Meades,神野,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,DF,林 (Forest),Rough Play,79,86,81,91,95,98,86,616
352,,富嶽 厚志,ふがく あつし,Atsushi Fugaku,Dave Chaucer,富嶽,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,林 (Forest),Rough Play,90,104,105,77,75,75,93,619
353,,白間 涼,しろま りょう,Ryo Shiroma,Billy Blanc,白間,男 (Male),FW7,選手 (Player),イナズマイレブン,FW,MF,風 (Wind),Counter,104,101,91,81,78,75,90,620
354,,黒川 真夜,くろかわ しんや,Shinya Kurokawa,Creed Craving,黒川,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,DF,火 (Fire),Tension,79,86,81,91,95,98,86,616
355,,菖蒲 畠也,しょうぶ はたや,Hataya Shobu,Phil Rosey,菖蒲,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,火 (Fire),Rough Play,110,104,95,77,75,75,83,619
356,,赤城 正馬,あかぎ しょうま,Shoma Akagi,Harry Redcastle,赤城,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,風 (Wind),Rough Play,90,104,105,77,75,75,93,619
357,,天野 陽介,あまの ようすけ,Yosuke Amano,Sonny Welkin,陽介,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,火 (Fire),Rough Play,90,104,105,77,75,75,93,619
358,,坂山 金太郎,さかやま きんたろう,Kintaro Sakayama,Teddy Kodiak,金太郎,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,山 (Mountain),Breach,90,104,105,77,75,75,93,619
359,,朝露 音夢,あさつゆ ねむ,Nemu Asatsuyu,Lloyd Tabb,朝露,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,風 (Wind),Justice,79,83,84,91,95,81,104,617
360,,横浜 英二,よこはま えいじ,Eiji Yokohama,Francis Paine,横浜,男 (Male),MF4,選手 (Player),イナズマイレブン,MF,DF,林 (Forest),Bond,93,101,98,81,82,75,90,620
361,,弁天 正市,べんてん しょういち,Shoichi Benten,Griff Strummer,弁天,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,MF,風 (Wind),Rough Play,79,86,81,91,95,98,86,616
362,,氷室 剛勇,ひむろ ごうゆう,Goyu Himuro,Bryce Bergman,剛勇,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,火 (Fire),Tension,90,104,105,77,75,75,93,619
363,,新間 読,しんま よみ,Yomi Shinma,Fingus Inky,新間,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,林 (Forest),Bond,90,104,105,77,75,75,93,619
364,,水田 流,みずた ながる,Nagaru Mizuta,Walter Geyser,流,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,山 (Mountain),Rough Play,90,104,105,77,75,75,93,619
365,,座敷 童,ざしき どう,Do Zashiki,Les Knightley,座敷,男 (Male),GK6,選手 (Player),イナズマイレブン,GK,DF,火 (Fire),Breach,79,86,81,88,95,101,86,616
366,,国定 忠次郎,くにさだ ちゅうじろう,Chujiro Kunisada,Conor Abley,国定,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,DF,火 (Fire),Justice,79,86,81,91,95,98,86,616
367,,枚田 影夫,まいた かげお,Kageo Maita,Ainsley Burns,まいたん,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,山 (Mountain),Counter,110,104,95,77,75,75,83,619
368,,御坊 研人,ごぼう けんと,Kento Gobo,Pete Grimes,御坊,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,FW,火 (Fire),Rough Play,79,86,81,91,95,98,86,616
369,,大鉄 茂,だいてつ しげる,Shigeru Daitetsu,Manny Steele,大鉄,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,火 (Fire),Breach,90,104,105,77,75,75,93,619
370,,布村 触,ぬのむら ふれる,Fureru Nunomura,Trey Hugger,布村,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,DF,火 (Fire),Bond,79,86,81,91,95,98,86,616
371,,伏木 動矢,ふしき どうや,Doya Fushiki,Jack Mate,伏木,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,風 (Wind),Justice,79,83,84,91,95,81,104,617
372,,日武 禄郎,ひむ ろくろう,Rokuro Himu,Mike Chequer,ひむろ,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,MF,火 (Fire),Justice,79,86,81,91,95,98,86,616
373,,福士 宏行,ふくし ひろゆき,Hiroyuki Fukushi,Berty Adman,福士,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,DF,山 (Mountain),Rough Play,79,86,81,91,95,98,86,616
374,,小車 巡,こぐるま めぐる,Meguru Koguruma,Troy Carr,小車,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,風 (Wind),Counter,110,104,95,77,75,75,83,619
375,,熱井 羽之,あつい うゆき,Uyuki Atsui,Hollis Ticure,熱井,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,火 (Fire),Justice,110,104,95,77,75,75,83,619
376,,相原 談,あいはら だん,Dan Aihara,Guy Dance,そうだん,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,山 (Mountain),Counter,90,104,105,77,75,75,93,619
377,,手札 来斗,てふだ くると,Kuruto Tefuda,Jack Trumper,手札,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,風 (Wind),Breach,110,104,95,77,75,75,83,619
378,,金堅 護,かなかた まもる,Mamoru Kanakata,John Corder,きんこ,男 (Male),FW7,選手 (Player),イナズマイレブン,FW,MF,火 (Fire),Justice,104,101,91,81,78,75,90,620
379,,玉川 当,たまがわ あたる,Ataru Tamagawa,Nigel Bramel,玉川,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,風 (Wind),Tension,76,79,77,95,99,81,110,617
380,,僧野 景市,そうの けいいち,Keiichi Sono,Hank O'Chief,僧野,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,DF,火 (Fire),Breach,79,86,81,91,95,98,86,616
381,,亜鉛 栄,あえん さかえ,Sakae Aen,Jess Uplement,亜鉛,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,山 (Mountain),Breach,90,104,105,77,75,75,93,619
382,,明井 評吾,あかい ひょうご,Hyogo Akai,Alec Smart,明井,男 (Male),GK6,選手 (Player),イナズマイレブン,GK,DF,火 (Fire),Breach,79,86,81,88,95,101,86,616
383,,有里 労人,ありさと もりひと,Morihito Arisato,Rob Anchor,アリ,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,風 (Wind),Rough Play,79,83,84,91,95,81,104,617
384,,湧口 鉄馬,ゆぐち てつま,Tetsuma Yuguchi,Brent Cross,湧口,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,火 (Fire),Tension,90,104,105,77,75,75,93,619
385,,鳴門 潮,なると うしお,Ushio Naruto,Albert Wister,鳴門,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,DF,山 (Mountain),Breach,79,86,81,91,95,98,86,616
386,,六甲 嵐,ろっこう あらし,Arashi Rokko,Nev Erin,六甲,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,風 (Wind),Bond,110,104,95,77,75,75,83,619
387,,遠山 金太,とおやま きんた,Kinta Toyama,Caz Yewell,遠山,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,MF,火 (Fire),Bond,79,86,81,91,95,98,86,616
388,,空原 誘,そらはら さそう,Saso Sorahara,Conor Trail,空原,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,MF,風 (Wind),Breach,79,86,81,91,95,98,86,616
389,,鈴鹿 走,すずか はしる,Hashiru Suzuka,Manuel Gere,鈴鹿,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,風 (Wind),Counter,79,83,84,91,95,81,104,617
390,,金井 満,かない みつる,Mitsuru Kanai,Per Hockside,金井,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,火 (Fire),Tension,110,104,95,77,75,75,83,619
391,,金沢 努,かねざわ つとむ,Tsutomu Kanezawa,Lee Gleagle,金沢,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,林 (Forest),Breach,79,83,84,91,95,81,104,617
392,,天戸 建,あまと たてる,Tateru Amato,Paul Pitcher,テント,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,山 (Mountain),Rough Play,76,79,77,95,99,81,110,617
393,,真田 幸夫,さなだ ゆきお,Yukio Sanada,Turner Fortune,真田,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,林 (Forest),Justice,79,83,84,91,95,81,104,617
394,,水渡 長流,みずわたり ながる,Nagaru Mizuwatari,Walter Walken,水渡,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,FW,風 (Wind),Tension,79,83,84,91,95,81,104,617
395,,高胡 菜生,こうこ なお,Nao Koko,Sal Curie,高胡,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,火 (Fire),Tension,76,79,77,95,99,81,110,617
396,,白金 希,しろがね まれ,Mare Shirogane,Silver Platt,はっきん,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,火 (Fire),Justice,79,83,84,91,95,81,104,617
397,,隼 駿介,はやぶさ しゅんすけ,Shunsuke Hayabusa,Nick Yergrub,隼,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,DF,風 (Wind),Counter,110,104,95,77,75,75,83,619
398,,桐技 躍馬,きりあや やくま,Yakuma Kiriaya,Mal Inger,桐技,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,FW,山 (Mountain),Tension,79,83,84,91,95,81,104,617
399,,間宮 林三,まみや りんぞう,Rinzo Mamiya,Jim Cook,間宮,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,風 (Wind),Bond,79,83,84,91,95,81,104,617
400,,出田 優士,いでた ゆうし,Yushi Ideta,Gus Potter,出田,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,山 (Mountain),Counter,76,79,77,95,99,81,110,617
401,,音尾 風雅,ねお ふうが,Fuga Neo,Handel Turnon,音尾,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,MF,火 (Fire),Counter,79,86,81,91,95,98,86,616
402,,塗壁 保,ぬりかべ たもつ,Tamotsu Nurikabe,Peter Malus,塗壁,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,山 (Mountain),Justice,90,104,105,77,75,75,93,619
403,,笠原 竜也,かさはら たつや,Tatsuya Kasahara,Colin Lection,笠原,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,火 (Fire),Counter,79,83,84,91,95,81,104,617
404,,水巻 開平,みずまき かいへい,Kaihei Mizumaki,Brock Twigg,水巻,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,林 (Forest),Counter,90,104,105,77,75,75,93,619
405,,宮城 錦,みやぎ にしき,Nishiki Miyagi,Paddy Rise,宮城,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,火 (Fire),Justice,76,79,77,95,99,81,110,617
406,,歌場 創人,うたば そうと,Soto Utaba,Dustin Westend,歌場,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,風 (Wind),Bond,110,104,95,77,75,75,83,619
407,,八重樫 智,やえがし さとる,Satoru Yaegashi,Alfonse Way,八重樫,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,山 (Mountain),Tension,90,104,105,77,75,75,93,619
408,,花庭 蒔志,はなにわ まきし,Makishi Hananiwa,Pippin Flowers,花庭,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,火 (Fire),Rough Play,110,104,95,77,75,75,83,619
409,,貼野 哲郎,はるの てつろう,Tetsuro Haruno,Euan Stamper,貼野,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,GK,林 (Forest),Rough Play,76,79,77,95,99,81,110,617
410,,山形 信洋,やまがた のぶひろ,Nobuhiro Yamagata,Paddy Prunus,山形,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,DF,風 (Wind),Justice,79,86,81,91,95,98,86,616
411,,押井 解,おしい ほぐす,Hogusu Oshii,Brian Presser,押井,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,山 (Mountain),Counter,110,104,95,77,75,75,83,619
412,,菜乃 常則,なの つねのり,Tsunenori Nano,Pete LeGume,ナノ,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,火 (Fire),Rough Play,76,79,77,95,99,81,110,617
413,,吹越 一徳,ふきこし いっとく,Ittoku Fukikoshi,Shylock Watson,吹越,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,林 (Forest),Breach,79,83,84,91,95,81,104,617
414,,松田 正敏,まつだ まさとし,Masatoshi Matsuda,Ed Ripp,松田,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,山 (Mountain),Breach,79,83,84,91,95,81,104,617
415,,大垣 純章,おおがき すみあき,Sumiaki Ogaki,Hike Basher,大垣,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,林 (Forest),Justice,110,104,95,77,75,75,83,619
416,,新井 超,あらい とおる,Toru Arai,Anthony Phinder,新井,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,火 (Fire),Bond,110,104,95,77,75,75,83,619
417,,町田 禄郎,まちだ ろくろう,Rokuro Machida,Duncan Jump,町田,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,火 (Fire),Breach,79,83,84,91,95,81,104,617
418,,北原 幸一,きたはら こういち,Koichi Kitahara,Lucky Winn,北原,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,風 (Wind),Breach,90,104,105,77,75,75,93,619
419,,入来 徹,いりき とおる,Toru Iriki,Gene Bates,入来,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,火 (Fire),Bond,79,83,84,91,95,81,104,617
420,,江田 俊二,えだ しゅんじ,Shunji Eda,Randolf Finn,俊二,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,DF,山 (Mountain),Bond,79,86,81,91,95,98,86,616
421,,西尾 信輔,にしお しんすけ,Shinsuke Nishio,Ron Away,西尾,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,火 (Fire),Counter,110,104,95,77,75,75,83,619
422,,服部 陸,はっとり りく,Riku Hattori,Rick Hatter,トリック,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,火 (Fire),Tension,110,104,95,77,75,75,83,619
423,,天道 陽光,てんとう ようこう,Yoko Tento,Grant Mardy,天道,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,風 (Wind),Rough Play,79,83,84,91,95,81,104,617
424,,質屋 流,しちや ながる,Nagaru Shichiya,Shawn Broker,質屋,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,MF,山 (Mountain),Bond,79,86,81,91,95,98,86,616
425,,銭形 芳生,ぜにがた よしお,Yoshio Zenigata,Anthony Coyne,銭形,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,火 (Fire),Rough Play,76,79,77,95,99,81,110,617
426,,金子 一樹,かねこ かずき,Kazuki Kaneko,Healey Proctor,金子,男 (Male),MF4,選手 (Player),イナズマイレブン,MF,DF,山 (Mountain),Bond,93,101,98,81,82,75,90,620
427,,伝法 平介,でんぽう へいすけ,Heisuke Denpo,Ade Posting,伝法,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,風 (Wind),Rough Play,110,104,95,77,75,75,83,619
428,,中園 康文,なかぞの やすふみ,Yasufumi Nakazono,Doug Outon,中園,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,風 (Wind),Rough Play,90,104,105,77,75,75,93,619
429,,阿賀 預利,あが まさとし,Masatoshi Aga,Ebenezer Marner,阿賀,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,火 (Fire),Tension,79,83,84,91,95,81,104,617
430,,海原 浴,うみはら あびる,Abiru Umihara,Davy Johns,海原,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,風 (Wind),Bond,110,104,95,77,75,75,83,619
431,,牛頭 忠太,ごず ちゅうた,Chuta Gozu,Bos Horne,牛頭,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,FW,山 (Mountain),Counter,79,83,84,91,95,81,104,617
432,,河伯 童子,かはく どうじ,Doji Kahaku,Nick Orner,河伯,男 (Male),GK6,選手 (Player),イナズマイレブン,GK,MF,風 (Wind),Tension,79,86,81,88,95,101,86,616
433,,細江 茂志,ほそえ しげし,Shigeshi Hosoe,Nathin Gaunt,細江,男 (Male),MF4,選手 (Player),イナズマイレブン,MF,DF,山 (Mountain),Justice,93,101,98,81,82,75,90,620
434,,北雄 石英,きたお いしひで,Ishihide Kitao,Quentin Quartz,せきえい,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,DF,山 (Mountain),Justice,110,104,95,77,75,75,83,619
435,,二宮 金次,にのみや きんじ,Kinji Ninomiya,Andrew Meikle,二宮,男 (Male),GK6,選手 (Player),イナズマイレブン,GK,DF,火 (Fire),Counter,79,86,81,88,95,101,86,616
436,,鮭川 昇,さけかわ のぼる,Noboru Sakekawa,Gary Salmon,シャケ,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,DF,山 (Mountain),Breach,79,86,81,91,95,98,86,616
437,,水原 弘也,みずはら ひろなり,Hironari Mizuhara,Fontaine Tapper,水原,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,火 (Fire),Justice,110,104,95,77,75,75,83,619
438,,芝 生夫,しば いくお,Ikuo Shiba,Leon Lawn,しばふ,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,山 (Mountain),Justice,76,79,77,95,99,81,110,617
439,,西嶋 路美,にしじま みちはる,Michiharu Nishijima,Jim Sweatman,西嶋,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,DF,風 (Wind),Justice,79,86,81,91,95,98,86,616
440,,劉備 玄,りゅうび げん,Gen Ryubi,Cole Coaker,劉備,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,DF,林 (Forest),Counter,79,86,81,91,95,98,86,616
441,,福島 初志,ふくしま はつし,Hatsushi Fukushima,Stu Born,福島,男 (Male),GK6,選手 (Player),イナズマイレブン,GK,DF,火 (Fire),Rough Play,79,86,81,88,95,101,86,616
442,,羅馬 久輝,らま ひさてる,Hisateru Rama,Romeo Montague,ローマ,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,MF,火 (Fire),Tension,79,86,81,91,95,98,86,616
443,,灰谷 直,はいたに なお,Nao Haitani,Drew Straitedge,灰谷,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,DF,山 (Mountain),Justice,79,86,81,91,95,98,86,616
444,,符川 芳正,ふかわ よしまさ,Yoshimasa Fukawa,Dash Dotter,符川,男 (Male),MF4,選手 (Player),イナズマイレブン,MF,FW,風 (Wind),Rough Play,93,101,98,81,82,75,90,620
445,,栃木 光,とちぎ ひかる,Hikaru Tochigi,Gill O'Mend,栃木,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,火 (Fire),Breach,90,104,105,77,75,75,93,619
446,,張飛 益斗,ちょうひ えきと,Ekito Chohi,Pay Chance,張飛,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,DF,火 (Fire),Justice,79,86,81,91,95,98,86,616
447,,鎧 護人,よろい もりと,Morito Yoroi,Bill Aegis,鎧,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,山 (Mountain),Bond,76,79,77,95,99,81,110,617
448,,高知 勇士,こうち ゆうし,Yushi Kochi,Tosh Coach,高知,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,山 (Mountain),Counter,79,83,84,91,95,81,104,617
449,,関羽 長人,かんう おさひと,Osahito Kanu,Carl Gnu,関羽,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,DF,林 (Forest),Counter,110,104,95,77,75,75,83,619
450,,札幌 澄太,さっぽろ すみた,Sumita Sapporo,Paul Sapp,札幌,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,山 (Mountain),Rough Play,90,104,105,77,75,75,93,619
451,,韓信 潜,かんしん くぐる,Kuguru Kanshin,Macky Valley,韓信,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,風 (Wind),Justice,110,104,95,77,75,75,83,619
452,,井口 満,いぐち みつる,Mitsuru Iguchi,Troy Trucker,井口,男 (Male),FW7,選手 (Player),イナズマイレブン,FW,DF,風 (Wind),Breach,104,101,91,81,78,75,90,620
453,,森下 返,もりした かえす,Kaesu Morishita,Haden Seek,森下,男 (Male),FW8,選手 (Player),イナズマイレブン,FW,MF,火 (Fire),Justice,110,104,95,77,75,75,83,619
454,,袋崎 拓路,ふくろさき たくじ,Takuji Fukurosaki,Kevin Doors,袋崎,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,DF,風 (Wind),Bond,79,86,81,91,95,98,86,616
455,,倉橋 大,くらはし だい,Dai Kurahashi,Skip Rooter,倉橋,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,火 (Fire),Breach,90,104,105,77,75,75,93,619
456,,今村 修生,いまむら しゅう,Shu Imamura,Rip Airman,今村,男 (Male),DF7,選手 (Player),イナズマイレブン,DF,MF,山 (Mountain),Bond,76,79,77,95,99,81,110,617
457,,革嶋 磨,かわしま みがく,Migaku Kawashima,Stu Shiner,革嶋,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,DF,風 (Wind),Counter,79,86,81,91,95,98,86,616
458,,川崎 大志郎,かわさき だいしろう,Daishiro Kawasaki,Matt Matickal,川崎,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,DF,林 (Forest),Tension,79,86,81,91,95,98,86,616
459,,登川 光,のぼりかわ ひかる,Hikaru Noborikawa,Philip Flagg,登川,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,山 (Mountain),Breach,79,83,84,91,95,81,104,617
460,,開川 路也,かいかわ みちや,Michiya Kaikawa,Alf Groundsman,開川,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,山 (Mountain),Bond,79,83,84,91,95,81,104,617
461,,菊丸 一休,きくまる いっきゅう,Ikkyu Kikumaru,Ernie Riddell,一休,男 (Male),FW7,選手 (Player),イナズマイレブン,FW,MF,林 (Forest),Bond,104,101,91,81,78,75,90,620
462,,矢形 王星,やがた おうせい,Osei Yagata,Len Stint,矢形,男 (Male),GK7,選手 (Player),イナズマイレブン,GK,DF,風 (Wind),Justice,79,86,81,91,95,98,86,616
463,,鈴虫 月彦,すずむし つきひと,Tsukihito Suzumushi,Holly Cricket,鈴虫,男 (Male),MF7,選手 (Player),イナズマイレブン,MF,DF,火 (Fire),Justice,90,104,105,77,75,75,93,619
464,,寿老 仁,じゅろう じん,Jin Juro,Jim Reed,寿老,男 (Male),DF6,選手 (Player),イナズマイレブン,DF,MF,林 (Forest),Rough Play,79,83,84,91,95,81,104,617
